"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 19 09:44:02 UTC 2025","Fri Dec 19 09:44:07 UTC 2025","4969","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_009: Registration form - Title selection",""
"failed","Fri Dec 19 09:43:03 UTC 2025","Fri Dec 19 09:43:19 UTC 2025","16000","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_004: Signup form validation - Empty name",""
"passed","Fri Dec 19 09:33:45 UTC 2025","Fri Dec 19 09:33:45 UTC 2025","383","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_004: Response time is acceptable",""
"passed","Fri Dec 19 09:33:48 UTC 2025","Fri Dec 19 09:33:53 UTC 2025","4961","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_002: Verify product structure",""
"passed","Fri Dec 19 09:44:07 UTC 2025","Fri Dec 19 09:44:20 UTC 2025","12253","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_010: Registration with special characters in name",""
"failed","Fri Dec 19 09:40:27 UTC 2025","Fri Dec 19 09:40:43 UTC 2025","15987","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_001: Complete user registration - Full flow",""
"failed","Fri Dec 19 09:35:10 UTC 2025","Fri Dec 19 09:35:26 UTC 2025","16129","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_002: Login with invalid email",""
"failed","Fri Dec 19 09:42:11 UTC 2025","Fri Dec 19 09:42:27 UTC 2025","16057","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_003: Registration with existing email should fail",""
"passed","Fri Dec 19 09:33:56 UTC 2025","Fri Dec 19 09:33:57 UTC 2025","985","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_004: API response time benchmark",""
"failed","Fri Dec 19 09:36:03 UTC 2025","Fri Dec 19 09:36:19 UTC 2025","16027","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_003: Login with invalid password",""
"passed","Fri Dec 19 09:43:20 UTC 2025","Fri Dec 19 09:43:27 UTC 2025","6992","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_005: Signup form validation - Invalid email format",""
"failed","Fri Dec 19 09:36:55 UTC 2025","Fri Dec 19 09:37:11 UTC 2025","16023","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_004: Login form validation - empty fields",""
"passed","Fri Dec 19 09:43:53 UTC 2025","Fri Dec 19 09:43:57 UTC 2025","4450","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_007: Registration form - Date of birth selection",""
"passed","Fri Dec 19 09:43:57 UTC 2025","Fri Dec 19 09:44:02 UTC 2025","4798","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_008: Registration form - Newsletter and offers checkboxes",""
"failed","Fri Dec 19 09:39:35 UTC 2025","Fri Dec 19 09:39:51 UTC 2025","15998","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_007: Login with XSS attempt in email",""
"failed","Fri Dec 19 09:33:47 UTC 2025","Fri Dec 19 09:33:47 UTC 2025","387","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_001: Get all products list",""
"failed","Fri Dec 19 09:38:42 UTC 2025","Fri Dec 19 09:38:59 UTC 2025","16179","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_006: Login with SQL injection attempt",""
"failed","Fri Dec 19 09:41:19 UTC 2025","Fri Dec 19 09:41:35 UTC 2025","16059","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_002: Registration with minimum required fields only",""
"failed","Fri Dec 19 09:37:50 UTC 2025","Fri Dec 19 09:38:07 UTC 2025","16072","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_005: Login and Logout flow (requires registered user)",""
"failed","Fri Dec 19 09:34:24 UTC 2025","Fri Dec 19 09:34:35 UTC 2025","10983","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_001: Verify login page elements are visible",""
"passed","Fri Dec 19 09:43:44 UTC 2025","Fri Dec 19 09:43:53 UTC 2025","9248","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_006: Registration form - Select different countries",""
"failed","Fri Dec 19 09:33:44 UTC 2025","Fri Dec 19 09:33:44 UTC 2025","403","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_003: Missing email parameter returns error",""
"passed","Fri Dec 19 09:44:20 UTC 2025","Fri Dec 19 09:44:24 UTC 2025","4596","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_011: Registration with long input values",""
"failed","Fri Dec 19 09:33:40 UTC 2025","Fri Dec 19 09:33:41 UTC 2025","384","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_002: Invalid credentials return error",""
"passed","Fri Dec 19 09:33:34 UTC 2025","Fri Dec 19 09:33:38 UTC 2025","4624","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_001: Valid login credentials return success",""
"failed","Fri Dec 19 09:33:55 UTC 2025","Fri Dec 19 09:33:55 UTC 2025","387","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_003: Search product by name",""
