"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 14 20:45:25 UTC 2026","Mon Sep 14 20:45:49 UTC 2026","23833","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_003: Registration with existing email should fail",""
"passed","Mon Sep 14 20:41:19 UTC 2026","Mon Sep 14 20:41:22 UTC 2026","3029","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_004: Login form validation - empty fields",""
"failed","Mon Sep 14 20:42:03 UTC 2026","Mon Sep 14 20:42:23 UTC 2026","19122","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_005: Login and Logout flow (requires registered user)",""
"failed","Mon Sep 14 20:47:01 UTC 2026","Mon Sep 14 20:47:19 UTC 2026","18572","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_010: Registration with special characters in name",""
"failed","Mon Sep 14 20:44:13 UTC 2026","Mon Sep 14 20:44:32 UTC 2026","18867","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_002: Registration with minimum required fields only",""
"passed","Mon Sep 14 20:41:03 UTC 2026","Mon Sep 14 20:41:04 UTC 2026","676","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_004: API response time benchmark",""
"passed","Mon Sep 14 20:45:50 UTC 2026","Mon Sep 14 20:45:53 UTC 2026","3063","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_004: Signup form validation - Empty name",""
"passed","Mon Sep 14 20:41:03 UTC 2026","Mon Sep 14 20:41:03 UTC 2026","152","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_002: Verify product structure",""
"passed","Mon Sep 14 20:41:03 UTC 2026","Mon Sep 14 20:41:03 UTC 2026","347","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_004: Response time is acceptable",""
"passed","Mon Sep 14 20:41:13 UTC 2026","Mon Sep 14 20:41:19 UTC 2026","5551","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_003: Login with invalid password",""
"passed","Mon Sep 14 20:46:13 UTC 2026","Mon Sep 14 20:46:19 UTC 2026","5616","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_009: Registration form - Title selection",""
"passed","Mon Sep 14 20:46:07 UTC 2026","Mon Sep 14 20:46:13 UTC 2026","5575","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_008: Registration form - Newsletter and offers checkboxes",""
"passed","Mon Sep 14 20:42:27 UTC 2026","Mon Sep 14 20:42:30 UTC 2026","3069","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_007: Login with XSS attempt in email",""
"passed","Mon Sep 14 20:45:53 UTC 2026","Mon Sep 14 20:45:55 UTC 2026","2659","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_005: Signup form validation - Invalid email format",""
"passed","Mon Sep 14 20:45:55 UTC 2026","Mon Sep 14 20:46:01 UTC 2026","5812","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_006: Registration form - Select different countries",""
"failed","Mon Sep 14 20:40:59 UTC 2026","Mon Sep 14 20:40:59 UTC 2026","309","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_002: Invalid credentials return error",""
"failed","Mon Sep 14 20:43:12 UTC 2026","Mon Sep 14 20:43:31 UTC 2026","19074","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_001: Complete user registration - Full flow",""
"passed","Mon Sep 14 20:47:20 UTC 2026","Mon Sep 14 20:47:26 UTC 2026","5738","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_011: Registration with long input values",""
"passed","Mon Sep 14 20:41:04 UTC 2026","Mon Sep 14 20:41:07 UTC 2026","2987","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_001 @smoke: Verify login page elements are visible",""
"passed","Mon Sep 14 20:41:07 UTC 2026","Mon Sep 14 20:41:13 UTC 2026","5857","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_002: Login with invalid email",""
"passed","Mon Sep 14 20:41:03 UTC 2026","Mon Sep 14 20:41:03 UTC 2026","140","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_001 @smoke: Get all products list",""
"passed","Mon Sep 14 20:42:23 UTC 2026","Mon Sep 14 20:42:27 UTC 2026","3205","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_006: Login with SQL injection attempt",""
"failed","Mon Sep 14 20:41:02 UTC 2026","Mon Sep 14 20:41:02 UTC 2026","221","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_003: Missing email parameter returns error",""
"passed","Mon Sep 14 20:40:57 UTC 2026","Mon Sep 14 20:40:57 UTC 2026","380","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_001 @smoke: Valid login credentials return success",""
"passed","Mon Sep 14 20:46:01 UTC 2026","Mon Sep 14 20:46:07 UTC 2026","6106","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_007: Registration form - Date of birth selection",""
"passed","Mon Sep 14 20:41:03 UTC 2026","Mon Sep 14 20:41:03 UTC 2026","112","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_003: Search product by name",""
