"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 13 17:57:30 UTC 2026","Mon Apr 13 17:57:36 UTC 2026","5836","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_007: Registration form - Date of birth selection",""
"failed","Mon Apr 13 17:52:00 UTC 2026","Mon Apr 13 17:52:01 UTC 2026","432","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_003: Missing email parameter returns error",""
"passed","Mon Apr 13 17:57:17 UTC 2026","Mon Apr 13 17:57:21 UTC 2026","3201","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_004: Signup form validation - Empty name",""
"passed","Mon Apr 13 17:52:02 UTC 2026","Mon Apr 13 17:52:02 UTC 2026","181","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_001 @smoke: Get all products list",""
"failed","Mon Apr 13 17:51:57 UTC 2026","Mon Apr 13 17:51:58 UTC 2026","407","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_002: Invalid credentials return error",""
"failed","Mon Apr 13 17:54:33 UTC 2026","Mon Apr 13 17:54:54 UTC 2026","21047","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_001: Complete user registration - Full flow",""
"passed","Mon Apr 13 17:53:44 UTC 2026","Mon Apr 13 17:53:47 UTC 2026","2887","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_006: Login with SQL injection attempt",""
"passed","Mon Apr 13 17:52:04 UTC 2026","Mon Apr 13 17:52:19 UTC 2026","15097","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_001 @smoke: Verify login page elements are visible",""
"passed","Mon Apr 13 17:52:27 UTC 2026","Mon Apr 13 17:52:37 UTC 2026","9848","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_003: Login with invalid password",""
"passed","Mon Apr 13 17:52:02 UTC 2026","Mon Apr 13 17:52:02 UTC 2026","175","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_002: Verify product structure",""
"failed","Mon Apr 13 17:58:30 UTC 2026","Mon Apr 13 17:58:50 UTC 2026","20161","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_010: Registration with special characters in name",""
"passed","Mon Apr 13 17:52:02 UTC 2026","Mon Apr 13 17:52:03 UTC 2026","146","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_003: Search product by name",""
"passed","Mon Apr 13 17:57:21 UTC 2026","Mon Apr 13 17:57:24 UTC 2026","3457","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_005: Signup form validation - Invalid email format",""
"failed","Mon Apr 13 17:55:37 UTC 2026","Mon Apr 13 17:55:56 UTC 2026","19559","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_002: Registration with minimum required fields only",""
"passed","Mon Apr 13 17:52:20 UTC 2026","Mon Apr 13 17:52:27 UTC 2026","7099","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_002: Login with invalid email",""
"passed","Mon Apr 13 17:51:55 UTC 2026","Mon Apr 13 17:51:55 UTC 2026","483","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_001 @smoke: Valid login credentials return success",""
"failed","Mon Apr 13 17:56:49 UTC 2026","Mon Apr 13 17:57:16 UTC 2026","27233","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_003: Registration with existing email should fail",""
"passed","Mon Apr 13 17:57:41 UTC 2026","Mon Apr 13 17:57:48 UTC 2026","6764","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_009: Registration form - Title selection",""
"passed","Mon Apr 13 17:53:47 UTC 2026","Mon Apr 13 17:53:50 UTC 2026","3070","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_007: Login with XSS attempt in email",""
"passed","Mon Apr 13 17:58:51 UTC 2026","Mon Apr 13 17:58:57 UTC 2026","5845","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_011: Registration with long input values",""
"passed","Mon Apr 13 17:57:36 UTC 2026","Mon Apr 13 17:57:41 UTC 2026","5463","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_008: Registration form - Newsletter and offers checkboxes",""
"passed","Mon Apr 13 17:52:02 UTC 2026","Mon Apr 13 17:52:02 UTC 2026","459","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_004: Response time is acceptable",""
"passed","Mon Apr 13 17:52:37 UTC 2026","Mon Apr 13 17:52:40 UTC 2026","3517","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_004: Login form validation - empty fields",""
"passed","Mon Apr 13 17:52:03 UTC 2026","Mon Apr 13 17:52:03 UTC 2026","870","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_004: API response time benchmark",""
"failed","Mon Apr 13 17:53:23 UTC 2026","Mon Apr 13 17:53:43 UTC 2026","19872","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_005: Login and Logout flow (requires registered user)",""
"passed","Mon Apr 13 17:57:24 UTC 2026","Mon Apr 13 17:57:30 UTC 2026","5849","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_006: Registration form - Select different countries",""
